DATE,CBR
1/1/1960,26.41
1/1/1961,26.95
1/1/1962,26.16
1/1/1963,25.44
1/1/1964,24.06
1/1/1965,22.79
1/1/1966,22.37
1/1/1967,22.37
1/1/1968,22.56
1/1/1969,22.43
1/1/1970,22.01
1/1/1971,22.51
1/1/1972,21.68
1/1/1973,20.4
1/1/1974,19.51
1/1/1975,18.27
1/1/1976,17.6
1/1/1977,17.24
1/1/1978,16.23
1/1/1979,16.66
1/1/1980,16.08
1/1/1981,16.09
1/1/1982,15.7
1/1/1983,15.67
1/1/1984,15.87
1/1/1985,15.83
1/1/1986,16.12
1/1/1987,16.73
1/1/1988,17.35
1/1/1989,17.44
1/1/1990,17.89
1/1/1991,17.14
1/1/1992,16.75
1/1/1993,16.45
1/1/1994,15.83
1/1/1995,15.69
1/1/1996,15.34
1/1/1997,15.23
1/1/1998,14.51
1/1/1999,14.87
1/1/2000,14.66
1/1/2001,14.36
1/1/2002,13.67
1/1/2003,13.94
1/1/2004,14.2
1/1/2005,13.96
1/1/2006,14.14
1/1/2007,15.15
1/1/2008,15.1
1/1/2009,14.53
1/1/2010,14.68
1/1/2011,14
1/1/2012,13.87
1/1/2013,13.2
1/1/2014,12.67
1/1/2015,13.23
1/1/2016,12.6
1/1/2017,12.38
1/1/2018,11.84
1/1/2019,11.96
1/1/2020,11.32
1/1/2021,11.48
1/1/2022,11.49
1/1/2023,10.86
