observation_date,TFR
1/1/1960,4.24
1/1/1961,4.31
1/1/1962,4.19
1/1/1963,4.05
1/1/1964,3.8
1/1/1965,3.54
1/1/1966,3.41
1/1/1967,3.35
1/1/1968,3.34
1/1/1969,3.28
1/1/1970,3.17
1/1/1971,3.18
1/1/1972,3
1/1/1973,2.76
1/1/1974,2.58
1/1/1975,2.37
1/1/1976,2.27
1/1/1977,2.21
1/1/1978,2.07
1/1/1979,2.12
1/1/1980,2.03
1/1/1981,2.01
1/1/1982,1.95
1/1/1983,1.92
1/1/1984,1.93
1/1/1985,1.93
1/1/1986,1.96
1/1/1987,2.03
1/1/1988,2.1
1/1/1989,2.12
1/1/1990,2.18
1/1/1991,2.09
1/1/1992,2.06
1/1/1993,2.04
1/1/1994,1.98
1/1/1995,1.98
1/1/1996,1.96
1/1/1997,1.96
1/1/1998,1.89
1/1/1999,1.97
1/1/2000,1.98
1/1/2001,1.97
1/1/2002,1.89
1/1/2003,1.93
1/1/2004,1.98
1/1/2005,1.97
1/1/2006,2.01
1/1/2007,2.18
1/1/2008,2.19
1/1/2009,2.13
1/1/2010,2.17
1/1/2011,2.09
1/1/2012,2.1
1/1/2013,2.01
1/1/2014,1.92
1/1/2015,1.99
1/1/2016,1.87
1/1/2017,1.81
1/1/2018,1.71
1/1/2019,1.72
1/1/2020,1.61
1/1/2021,1.64
1/1/2022,1.66
1/1/2023,1.56
