"Year","Total","Male","Female"
1960,71.23658537,68.7,73.9
1961,70.98536585,68.4,73.7
1962,71.23170732,68.5,74.1
1963,71.2804878,68.5,74.2
1964,71.32926829,68.5,74.3
1965,71.22682927,68.3,74.3
1966,71.12439024,68.1,74.3
1967,71.47317073,68.4,74.7
1968,71.12439024,68.1,74.3
1969,71.47317073,68.4,74.7
1970,71.27317073,68.2,74.5
1971,71.77317073,68.7,75
1972,71.82926829,69,74.8
1973,71.66829268,68.4,75.1
1974,71.92439024,68.9,75.1
1975,72.2195122,69,75.6
1976,72.42195122,69.3,75.7
1977,72.16829268,68.9,75.6
1978,73.0195122,69.8,76.4
1979,73.06829268,69.8,76.5
1980,72.82926829,70,75.8
1981,73.62195122,70.5,76.9
1982,73.72439024,70.7,76.9
1983,73.77560976,70.8,76.9
1984,74.37073171,71.2,77.7
1985,73.82926829,71,76.8
1986,74.12195122,71,77.4
1987,74.17804878,71.3,77.2
1988,74.42439024,71.4,77.6
1989,74.82439024,71.8,78
1990,75.37804878,72.5,78.4
1991,76.03170732,73.3,78.9
1992,76.12439024,73.1,79.3
1993,76.43414634,73.8,79.2
1994,76.88292683,74.2,79.7
1995,76.73414634,74.1,79.5
1996,76.78780488,74.3,79.4
1997,77.33414634,74.7,80.1
1998,78.08536585,75.5,80.8
1999,77.8902439,75.5,80.4
2000,78.63658537,76.1,81.3
2001,78.69268293,76.4,81.1
2002,78.84634146,76.7,81.1
2003,79.14634146,77,81.4
2004,79.54878049,77.5,81.7
2005,79.85121951,77.9,81.9
2006,80.04878049,78,82.2
2007,80.15121951,78.2,82.2
2008,80.35121951,78.4,82.4
2009,80.70243902,78.8,82.7
2010,80.90487805,79.1,82.8
2011,81.15609756,79.4,83
2012,81.40731707,79.7,83.2
2013,81.40487805,79.6,83.3
2014,81.45682927,79.73,83.27
2015,81.61243902,79.91,83.4
2016,81.65853659,80,83.4
2017,81.85853659,80.2,83.6
2018,81.70731707,80,83.5
2019,82.05609756,80.3,83.9
2020,82.25609756,80.5,84.1
2021,82.20731707,80.5,84
2022,81.95853659,80.3,83.7
2023,83.00487805,81.2,84.9
