Region,Area,Population,Density
Northland,"12,504","203,900",16.31
Auckland,"4,941","1,739,300",352.01
Waikato,"23,900","522,600",21.87
Bay of Plenty,"12,072","354,100",29.33
Gisborne,"8,385","52,600",6.27
Hawke’s Bay,"14,138","184,800",13.07
Taranaki,"7,254","128,700",17.74
Manawat??Whanganui,"22,221","260,900",11.74
Wellington,"8,049","550,500",68.39
Tasman,"9,616","59,400",6.18
Nelson,422,"55,600",131.75
Marlborough,"10,458","52,200",4.97
West Coast,"23,245","32,900",1.42
Canterbury,"44,504","666,300",14.97
Otago,"31,186","254,600",8.16
Southland,"31,196","103,900",3.33
