Year,Disease,Total prevalence(%)
2011,Stroke,1.7
2012,Stroke,2
2013,Stroke,1.7
2014,Stroke,1.6
2015,Stroke,1.5
2016,Stroke,1.5
2017,Stroke,1.5
2018,Stroke,1.6
2019,Stroke,1.6
2020,Stroke,1.6
2021,Stroke,1.6
2022,Stroke,2.1
2023,Stroke,1.9
2024,Stroke,2
2012,Heart_failure,2.1
2013,Heart_failure,2
2014,Heart_failure,1.9
2015,Heart_failure,2
2016,Heart_failure,2.1
2017,Heart_failure,1.9
2018,Heart_failure,1.9
2019,Heart_failure,1.8
2020,Heart_failure,1.6
2021,Heart_failure,1.8
2022,Heart_failure,2.9
2023,Heart_failure,2.4
2024,Heart_failure,2.1
2011,High_bloodpressure,16.1
2012,High_bloodpressure,15.9
2013,High_bloodpressure,15.8
2014,High_bloodpressure,16.2
2015,High_bloodpressure,16.4
2016,High_bloodpressure,16.5
2017,High_bloodpressure,16.4
2018,High_bloodpressure,15.9
2019,High_bloodpressure,15.4
2020,High_bloodpressure,16.7
2021,High_bloodpressure,17.5
2022,High_bloodpressure,16.6
2023,High_bloodpressure,17.7
2024,High_bloodpressure,16.9
2011,Diabetes,5.6
2012,Diabetes,5.8
2013,Diabetes,5.4
2014,Diabetes,6.1
2015,Diabetes,5.7
2016,Diabetes,5.6
2017,Diabetes,5.9
2018,Diabetes,5.7
2019,Diabetes,5.6
2020,Diabetes,5.4
2021,Diabetes,5.4
2022,Diabetes,5.9
2023,Diabetes,6.5
2024,Diabetes,6.1
