year,under 5 MR
1960,27.8
1961,26.8
1962,25.8
1963,24.8
1964,23.9
1965,23.1
1966,22.5
1967,22
1968,21.6
1969,21.2
1970,20.8
1971,20.3
1972,19.8
1973,19.4
1974,18.8
1975,18.3
1976,17.7
1977,17.1
1978,16.6
1979,16.1
1980,15.6
1981,15.2
1982,14.8
1983,14.5
1984,14.1
1985,13.8
1986,13.4
1987,12.9
1988,12.4
1989,11.8
1990,11.2
1991,10.6
1992,10
1993,9.5
1994,9.1
1995,8.7
1996,8.4
1997,8.1
1998,7.8
1999,7.6
2000,7.4
2001,7.2
2002,7
2003,6.9
2004,6.7
2005,6.6
2006,6.5
2007,6.5
2008,6.4
2009,6.3
2010,6.2
2011,6.1
2012,6
2013,5.9
2014,5.7
2015,5.6
2016,5.5
2017,5.3
2018,5.2
2019,5.1
2020,5
2021,4.9
2022,4.8
2023,4.7
