Year,Urban population,Total population,Rural population
1960,1802521,2371800,569279
1961,1851675,2419700,568025
1962,1914441,2482000,567559
1963,1967968,2531800,563832
1964,2024808,2585400,560592
1965,2073571,2628400,554829
1966,2125227,2675900,550673
1967,2175248,2724100,548852
1968,2206092,2748100,542008
1969,2237511,2772800,535289
1970,2279646,2810700,531054
1971,2324938,2853000,528062
1972,2375942,2903900,527958
1973,2432441,2961300,528859
1974,2493343,3023700,530357
1975,2552005,3083100,531095
1976,2582586,3110500,527914
1977,2593760,3120200,526440
1978,2597744,3121200,523456
1979,2590668,3109000,518332
1980,2597030,3112900,515870
1981,2609635,3124900,515265
1982,2636985,3156100,519115
1983,2674359,3199300,524941
1984,2698921,3227100,528179
1985,2716946,3247100,530154
1986,2719750,3246300,526550
1987,2751315,3274400,523085
1988,2766856,3283400,516544
1989,2788022,3299200,511178
1990,2821739,3329800,508061
1991,2969087,3495100,526013
1992,3005583,3531700,526117
1993,3045443,3572200,526757
1994,3091625,3620000,528375
1995,3142704,3673400,530696
1996,3198324,3732000,533676
1997,3243637,3781300,537663
1998,3275597,3815000,539403
1999,3295923,3835100,539177
2000,3318432,3857700,539268
2001,3341111,3880500,539389
2002,3402067,3948500,546433
2003,3472292,4027200,554908
2004,3526736,4087500,560764
2005,3569251,4133900,564649
2006,3615494,4184600,569106
2007,3646829,4223800,576971
2008,3675355,4259800,584445
2009,3709702,4302600,592898
2010,3748563,4350700,602137
2011,3774624,4384000,609376
2012,3798063,4408100,610037
2013,3830023,4442100,612077
2014,3896881,4516500,619619
2015,3979802,4609400,629598
2016,4072982,4714100,641118
2017,4162127,4813600,651473
2018,4240881,4900600,659719
2019,4312734,4970300,657566
2020,4413152,5072400,659248
2021,4436046,5084600,648554
2022,4446028,5081700,635672
2023,4543314,5200000,656686
